id,tweet,prediction
b'1,is so sad for my apl friend,0
b'2,i missed the new moon trailer,0
b'3,omg its already,1
b"4,omgaga im soo im gunna cry ive been at this dentist since i was suposed just get a crown put on,0
b'5,i think mi bf is cheating on me,0
b'6,or i just worry too much,0
b'7,juusst,1
b'8,sunny again work tomorrow tv,1
b'9,handed in my uniform today i miss you,0
b'10,hmm i wonder how she my number USER_MENTION,1
b'11,i must think about positive,1
b'12,thanks to all the haters up in my face all day,1
b'13,this weekend has sucked so,0
b'14,jb isnt showing in australia any,1
b'15,ok thats it you,1
b'16,this is the way i feel right now,1
b'17,awhhe man completely useless now funny all i can do is twitter URL,1
b"18,feeling strangely fine now im gonna go listen to some semisonic to,1
b'19,huge roll of thunder just now so,1
b"20,i just cut my beard off its only been growing for well over a year im gonna start it over USER_MENTION is happy in the,1
b'21,very sad about,0
b'22,wompp,1
b"23,youre the only one who can see this cause no one else is following me this is for you because youre pretty,1
b"24,level is i was writing a massive blog tweet on myspace and my comp shut down now its all lost in fetal,0
b'25,headed to hospitol had to pull out of the golf tourny in place i think i reripped something yeah that,1
b'26,boring EMO_NEG whats wrong with him please tell me,0
b"27,cant be bothered i wish i could spend the rest of my life just sat here and going to gigs,0
b'28,feeling like shit right now i really want to sleep but noo i have hours of dancing and an art assignment to finish,1
b'29,goodbye exams hello alcohol tonight,1
b"30,i didnt realize it was that deep geez give a girl a warning,0
b'31,i hate it when any athlete appears to tear an acl on live,0
b"32,i miss you guys too i think im wearing skinny jeans a cute sweater and heels not really sure what are you doing,0
b'33,meet your meat URL,1
b'34,my horsie is moving on saturday,1
b'35,no sat off need to work days a week,1
b'36,really dont like doing my room its so boring sick of doing my wardrobe out cant waiit till i have my walk in one,0
b'37,sox floyd was great but relievers need a,1
b'38,times by like a,1
b'39,uploading pictures on friendster,1
b"40,what type of a spaz downloads a virus my brother thats who msn is now fucked forever EMO_NEG,0
b'41,wiit the babes,1
b'42,EMO_POS so i wrote something last week and i got a call from someone in the new york office URL,1
b'43,,1
b'44,do i need to even say it do i well here i go anyways chris cornell in chicago tonight,1
b'45,health class what a,1
b'46,USER_MENTION go to the show,1
b'47,USER_MENTION USER_MENTION it really makes me sad when i look at muslims reality,0
b'48,all time low shall be my motivation for the rest of the,1
b'49,and the entertainment is over someone complained properly USER_MENTION experimental you say he should experiment with a,1
b"50,another year of lakers thats neither magic nor fun,1
b'51,baddest day eveer,1
b'52,bathroom is clean now on to more enjoyable tasks,1
b'53,boom boom,1
b"54,but im,1
b'55,congrats to helio,1
b'56,david must be hospitalized for five days end of july palatine tonsils i will probably never see katie in concert,1
b"57,friends are leaving me cause of this stupid love URL,1
b'58,go give ur mom a hug right now URL,1
b'59,going to see harry sunday happiness,1
b'60,hand quilting it is then,1
b'61,hate u leysh t9ar5,0
b'62,i always get what i,1
b'63,i bend backwards,1
b"64,i get off work soon i miss cody boo havent seen him in,1
b"65,i hate allergies should i get my hair cut tomorrow im taking a public poll,0
b'66,i love you guys so much that it hurts URL,1
b'67,i miss,0
b'68,i miss new,0
b'69,i missed the first hour of sytycd last night and i find it,0
b'70,i need a u2 fix,1
b"71,i never thought id become second choice,1
b'72,i think i may be too friendly lol o well,1
b'73,i think manuel my basil plant only has days to live,1
b'74,i wanna be at home church i wonder wht they are,1
b'75,i wanna make my own,1
b'76,i want a harddrive or a inch tv or a new guitar anyonefeeling generous,1
b'77,i want a,1
b'78,i want miley to tour,1
b'79,i wanted to sleep in this morning but a mean kid through a popsicle stick at me head i wish i could fly away like those,1
b'80,i was too slow to get up,0
b'81,i will send sunshine to northern ireland are you going swimming today USER_MENTION,1
b"82,i wish i could go to t4 on the beach EMO_NEG would be great to see USER_MENTION USER_MENTION,1
b'83,i would be so much happier if the walls of my bedroom were painted,1
b'84,idk wat do who can i trust me im sorry all da pain i have caused nebody ima take dis time out straighten myself out i luv,1
b"85,im finding the intercept slope and banging my head against the wall math brain heads come save,1
b"86,im really going to bed now,1
b"87,im sick cough,0
b'88,in cab headed to the airport going home,1
b"89,in case i feel emo in camp feeling a wee bit of it alr am bringing in the human rights watch world report hope itll,1
b'90,jin has a,1
b'91,jonas day is almost over,1
b"92,jus got hom fr tda funeral im so sad i cried so much times much love i never got to say my last to,1
b'93,just gonna smile cuz it is what it is and im not sure what more they could want,1
b'94,just got home and i got to see my friend zahra whom i seen since we graduated that makes me so,1
b'95,longest night ever ugh URL,0
b"96,mi momacita wont let me go to my bfs bball game,0
b'97,mom says i have to get a new phone immediately off to tmobile she paying,1
b'98,my new car was stolen by my mother who wanted to go pose at,0
b'99,no hang out with the girls hope so,0
b'100,no movie times for sunday rats will have to plan tomorrow i guess this means i have to work on those two presentations i am,1
b'101,no pavel tonight,1
b'102,not a cool,1
b'103,oh thank,1
b'104,,1
b'105,probably guna get off soon since no one is talkin no,1
b'106,really wanted safina to pull out a win to lose like that,1
b'107,rip david,0
b"108,rose and ood will be back in the xmas who special yay damn thats half a year,1
b'109,sannesias aww no neighbor we need to watch mean girls URL,1
b'110,so whats the status on next,1
b'111,sorry USER_MENTION the ex husband has overdosed on his daily dose of,0
b'112,thanks for your definition of throwbie editors reviewed your entry and have decided to not publish,1
b'113,thanks i need all the help i can,1
b'114,that explains,1
b"115,theres going to be a heathers sequel winona4ever they better not fuck it,1
b'116,told not to drink rx so just gave all the b.b porter obs stout that i brought home from or to my neighbors v v,1
b'117,trae is so sweet he just bought me a new baithing suit wove him,1
b'118,true highly subjective of me there tombre was actually my favorite character in the book you got me URL,1
b'119,u guys knw,1
b'120,very much so,1
b"121,waahh now im getting sad miss hub,0
b'122,we were standing out in the pouring rain we were sitting on top of the world summer sucks,1
b'123,went to get dog from vets theyve stitched her ear charged us for it but she still bleeds like a waterfall everytime she moves d,1
b'124,where is my picture i feel naked,1
b"125,why arent there any trains going to manchester on a sunday now i cant go to the USER_MENTION,0
b'126,why must people be so picky i mean hours work and no dice up with that URL,1
b'127,why twitter will soon become obsolete URL,0
b'128,wide awake,1
b'129,yeah me too its been awful weather here for the last week so that stinks kristis comin down and moe said mmaybe he take us for,0
b'130,you hi stranger hello i am frank lampard how are you you fine you and urself stranger i am gay your URL,0
b"131,youll always be my one and only,1
b'132,this shit,0
b"133,asylm j2 panel is over guess its back to normal,1
b'134,poemsunder140 started by USER_MENTION,1
b'135,squarespace brighten my bad day i never win anything,1
b'136,susan boyle didnt win mh well diversity was very good though,1
b'137,,1
b'138,that is all and believe me,1
b'139,good,1
b'140,graduate,1
b'141,vandals paint swastikas on home of author of gay lesbian church story naples daily URL,1
b'142,unknown error occured uh oh iphone os fail so far,0
b'143,homers predict eagles to go and giants to go bs URL,0
b'144,know you hungry so lets go outside on the balcony so you can,0
b"145,want you so bad its driving me,0
b'146,men a uk female internet entrepreneur should know when starting and growing a business the next URL,1
b'147,truth is hiding in your USER_MENTION USER_MENTION paramore decode USER_MENTION URL,1
b"148,to turn on my tv to get you out of my head ive got this feeling inside that i just wont admit that is literally how i,0
b'149,the truth is i miss you,0
b"150,tears EMO_NEG today is the last day with my kids they go on summer break at their dads tomorrow URL,0
b'151,unsure annoyed URL,0
b'152,via USER_MENTION are designed gallery exhibition going extinct via nyt URL,1
b'153,,1
b"154,im going to miss harry potter when it comes out im leaving to vietnam on july im going to,0
b"155,i say up put your money where your mouth headin out to reality cheers twitter world,1
b"156,you cant love someone that doesnt love you back thats like stalker status get a divorce move on trinity,1
b'157,going back to bed because around and see a reason to be awake atm be up in a,1
b'158,aiqht goodniqht tri neena malcolm chaise jlew atl love much,1
b"159,trii ily even if chaise doesnt of,1
b'160,i wantt hiim soo badd,1
b'161,watching tv bed shopping w mom out w trent hopefully i need my best,1
b'162,had weird encounters with so many on the walk home tonight all by myself awesome really,1
b'163,rained out truck,1
b'164,why am i feeling worse,0
b'165,feeling pain and happiness at the same time how,1
b'166,hot choco is the,1
b'167,in a shirt and panties,1
b'168,had to turn back to north due to body on line so missing design council design tech transfer event URL,1
b'169,y everything is so hard,0
b'170,bueno good bye good,1
b'171,beach day with scoobs EMO_POS still no,1
b'172,have fun when i give ya what i give,1
b"173,i dont want to,1
b'174,d what an amazing night again hi twits i miss u,1
b'175,canaveral national,1
b'176,progressing in the production department with thats the priority getting the head nodding beats and then we reach,1
b'177,taylorrhicks enjoy chicago b new venue is always cool you shine everywhere you go i know who you are in time so will everyone,1
b'178,the train crash in dc,0
b"179,thestreetforce,1
b'180,USER_MENTION makes me,1
b'181,USER_MENTION my first day off in weeks and my child got up before so watch for me on grac URL,1
b'182,USER_MENTION video woodpecker the barber of i am great USER_MENTION just wishing to be a ch URL,1
b'183,USER_MENTION i am happy you are staying around here drexel is a fabulous university you should be proud,1
b'184,USER_MENTION what happened to angels and demons and lions and tigers and,1
b'185,USER_MENTION well that sure minimizes the impact,1
b'186,USER_MENTION USER_MENTION i call dibs on the voltron arm no the leg wait where are my manners USER_MENTION URL,1
b'187,USER_MENTION i just saw ur,1
