Tweet_ID,Tweet
0,"@AskAnshul 
Why has @TIME not included Narendra Modi in top 100 influencial people on Earth.
I mean has Narendra Mo… https://t.co/Qd7S5ZZk2N"
1,"RT @NazlinShaikh: Narendra Modi, 52 leaders meet at CHOGM
https://t.co/elNdp20wTU

via NMApp @narendramodi @PMOIndia @AmitShah @mygovindia…"
2,"RT @TG_Asif: #GuardianExposesIndia
@AmritWilson
These Rape-cases are well planned by Hindu extremists backed by Indian state. The protests…"
3,"RT @brijeshkalappa: Was there a great big happy reunion of the Modi khandaan in London yesterday?!
All Modi's- Nirav, Lalit &amp; Narendra  hap…"
4,"RT @AsYouNotWish: Serial faker, Prakash Raaj, who claims to be apolitical, posts old pics from various locations as the pics of protest aga…"
5,"RT @CNNnews18: PM Narendra Modi said he had a ""wonderful meeting"" with German Chancellor Angela Merkel 
https://t.co/1HFlu6xbpA"
6,"RT @VinodChavdaBJP: PM Shri @narendramodi ji Joins World Leaders for Commonwealth Heads of Government Meeting Retreat in UK 
 https://t.co/…"
7,"RT @Chopdasaab: Burnol Prices will shoot up today... BJP sweeps local body polls in Jharkhand, Amit Shah says people trust PM Modi's 'model…"
8,"RT @AsYouNotWish: Serial faker, Prakash Raaj, who claims to be apolitical, posts old pics from various locations as the pics of protest aga…"
9,Germany's Angela Merkel meets India's Narendra Modi amid industry worries https://t.co/AkMDididY9 via @dwnews
10,RT @DBTIndia: Major Initiatives for DBT announced in the joint statement issued by Prime Minister of India Shri Narendra Modi and Prime Min…
11,@ashutosh83B Its narendra damodardas Modi... All other are involved in some crime and charges are there against the… https://t.co/MxGxuG1npa
12,"RT @AsYouNotWish: Serial faker, Prakash Raaj, who claims to be apolitical, posts old pics from various locations as the pics of protest aga…"
13,"RT @AsYouNotWish: Serial faker, Prakash Raaj, who claims to be apolitical, posts old pics from various locations as the pics of protest aga…"
14,"RT @thewirehindi: कहीं प्रधानमंत्री मोदी ने ख़ुद को ही तो भारत नहीं मान लिया है?
#NarendraModi #ModiInLondon #नरेंद्रमोदी #मोदीइनलंदन https…"
15,"RT @AsYouNotWish: Serial faker, Prakash Raaj, who claims to be apolitical, posts old pics from various locations as the pics of protest aga…"
16,"RT @VinodChavdaBJP: PM Shri @narendramodi ji Joins World Leaders for Commonwealth Heads of Government Meeting Retreat in UK 
 https://t.co/…"
17,"RT @AsYouNotWish: Serial faker, Prakash Raaj, who claims to be apolitical, posts old pics from various locations as the pics of protest aga…"
18,"RT @rubusmubu: If you haven’t listened TDP Leader &amp; Actor Balakrishna speech, he shouldn’t have abused PM of India Narendra Modi like this!…"
19,"आज मोदी सरकार ला सकती है 12 साल तक की बच्चियों से रेप पर फांसी का अध्यादेश https://t.co/dRnq8thul7

#ModiGovt .… https://t.co/mxFcMouzOi"
20,"RT @ikaveri: Revealed: Narendra Modi Link With Lalit Modi @nc24x7 https://t.co/XOjYGPr9jr

Modi Modi bhai bhai"
21,"RT @VinodChavdaBJP: PM Shri @narendramodi ji holds talks with German Chancellor Angela Merkel
 https://t.co/fFxBrNYw8q

via NMApp https://t…"
22,"RT @thewirehindi: कहीं प्रधानमंत्री मोदी ने ख़ुद को ही तो भारत नहीं मान लिया है?
#NarendraModi #ModiInLondon #नरेंद्रमोदी #मोदीइनलंदन https…"
23,"RT @thewirehindi: कहीं प्रधानमंत्री मोदी ने ख़ुद को ही तो भारत नहीं मान लिया है?
#NarendraModi #ModiInLondon #नरेंद्रमोदी #मोदीइनलंदन https…"
24,"RT @KalrajMishra: PM @narendramodi Joins World Leaders for Commonwealth Heads of Government Meeting Retreat in UK 
https://t.co/TMfBc4KHun"
25,"PM Modi Joins World Leaders for Commonwealth Heads of Government Meeting Retreat in UK 
https://t.co/f1jY2WNXSi

vi… https://t.co/1UMlgowq49"
26,"Y 
PM Narendra Modi holds talks with German Chancellor Angela Merkel
https://t.co/semMM8QKoy

via NMApp https://t.co/na42AKMGYL"
27,@SatpathyLive Demonitazation is the nobel work after Indian Independence by my Leader Narendra Modi.Honble Prime Minister.Govt.of India.
28,"RT @Yr_Conscience: #IndiaStandsWithCJI, my foot! Only Narendra Modi, his moron bhakts and the sanghis stand by him. A guy who is hands-in-g…"
