article_name,location,pro_tweets,tweets,twitter_search,vader_sentiment,model_sentiment
Facebook admits it did not read the terms of the app that harvested data of 87 million,"Fredericton, NB",what a great visual,What a great visual! https://t.co/h3YEteooYs,facebook,Positive,positive
Facebook admits it did not read the terms of the app that harvested data of 87 million,"New Jersey, USA",priceless,Priceless https://t.co/72VcWHa2j9,facebook,Neutral,positive
Facebook admits it did not read the terms of the app that harvested data of 87 million,nagpur,what about this,"@drgopijvs @OpIndia_com @RahulGandhi What about this ..
https://t.co/R9xkmug6pE",facebook,Neutral,neutral
Facebook admits it did not read the terms of the app that harvested data of 87 million,SLC,amazing women,Amazing women! https://t.co/ZBr6OYRMjX,facebook,Positive,positive
Facebook admits it did not read the terms of the app that harvested data of 87 million,Not Avaiable,for the first time ever the urmsa is holding a collaborative event with regina huda school and the islamic,For the FIRST time ever. The URMSA is holding a collaborative event with Regina Huda School and the Islamic Associa… https://t.co/7ugXkaRb5W,facebook,Neutral,neutral
Facebook admits it did not read the terms of the app that harvested data of 87 million,"Los Angeles, CA",back onboard rexsmith,"Back Onboard...
#rexsmith
@realrexsmith https://t.co/T0zvbmDgW4",facebook,Neutral,neutral
Facebook admits it did not read the terms of the app that harvested data of 87 million,"Atlanta, GA",learn how to make money in the car business work from home access local dealer auctions join our facebook,"Learn how to make money in the Car business...
Work from home... Access local Dealer auctions!
Join our Facebook Fa… https://t.co/8qUnywAaJU",facebook,Positive,neutral
Facebook admits it did not read the terms of the app that harvested data of 87 million,"chattanooga,tennessee",oh my damn,Oh my damn https://t.co/cS1BRgMXf2,facebook,Negative,negative
Facebook admits it did not read the terms of the app that harvested data of 87 million,New York City,youre rock thanks the follow lets connect on facebook,@tummppeer You're Rock Thanks the follow. [FIRTSNAME]! Let's connect on Facebook =&gt; https://t.co/yiE9pq2jMH,facebook,Positive,positive
Facebook admits it did not read the terms of the app that harvested data of 87 million,"Moorpark, CA",what i imagine most airline pilots wish they were doing when they are transporting us to our destination,What I imagine most airline pilots WISH they were doing when they are transporting us to our destination. https://t.co/dRfi9CRbsZ,facebook,Positive,neutral
Facebook admits it did not read the terms of the app that harvested data of 87 million,Somewhere.,comemorando o niver do mozaoo eating dinner at paris pamplona,Comemorando o niver do mozaoo — eating dinner at Paris 6 Pamplona https://t.co/6eHxJCu2IV,facebook,Neutral,positive
Facebook admits it did not read the terms of the app that harvested data of 87 million,Not Avaiable,lihving for this,Lih-VING for this! https://t.co/PUcAXp0gIM,facebook,Neutral,neutral
Facebook admits it did not read the terms of the app that harvested data of 87 million,"Chicago, IL ",triedstone f.g.b church presiding bishop joseph walker ii midwest regional summit friday april pm,"Triedstone F.G.B. Church
Presiding Bishop Joseph Walker III
Midwest Regional Summit 
Friday, April 27, 2018 7:00 pm https://t.co/WM1gzt0c9b",facebook,Neutral,positive
Facebook admits it did not read the terms of the app that harvested data of 87 million,Maine,my maine wild blueberry lip butter featured here,My Maine Wild Blueberry Lip Butter featured here! https://t.co/ONZ51ww3MR,facebook,Neutral,positive
Facebook admits it did not read the terms of the app that harvested data of 87 million,"Hempstead, NY 11550",sorry am i the only one thinking some of the nuclear stuff was a bluff and fake out and possibly about money and,Sorry. Am I the only one thinking some of the Nuclear Stuff was a bluff and fake out and possibly about money and a… https://t.co/FilFqwVtOh,facebook,Negative,negative
Facebook admits it did not read the terms of the app that harvested data of 87 million,"Tampa,Fl.",then i took it here so ready for jacksonville jazz festival,then I took it here so ready for Jacksonville Jazz Festival 😎 https://t.co/hnwIr79kqL,facebook,Positive,positive
Facebook admits it did not read the terms of the app that harvested data of 87 million,Brooklyn,official get it got it video is available now on subscribe today channel name sinthoro,"Official ""Get It Got It"" Video is available now on @Youtube Subscribe Today

Channel Name: Sinthoro UpperGang… https://t.co/LXTwEIZaRG",facebook,Neutral,positive
